,Ball 0,,,,,Ball 1,,,,,
,m:,10,,,,m:,10,,,,
,r:,1,,,,r:,1,,,,
,k:,900,,,,k:,900,,,,
,rot: ,true,,,,,,,,,
,u_k: ,0.5,,,,,,,,,
t,s_x,s_y,v_x,v_y,w,s_x,s_y,v_x,v_y,w,
0.001,0.003,0,3,0,0,2.1,0,0,0,0,
0.002,0.006,0,3,0,0,2.1,0,0,0,0,
0.003,0.009,0,3,0,0,2.1,0,0,0,0,
0.004,0.012,0,3,0,0,2.1,0,0,0,0,
0.005,0.015,0,3,0,0,2.1,0,0,0,0,
0.006,0.018,0,3,0,0,2.1,0,0,0,0,
0.007,0.021,0,3,0,0,2.1,0,0,0,0,
0.008,0.024,0,3,0,0,2.1,0,0,0,0,
0.009,0.027,0,3,0,0,2.1,0,0,0,0,
0.01,0.03,0,3,0,0,2.1,0,0,0,0,
0.011,0.033,0,3,0,0,2.1,0,0,0,0,
0.012,0.036,0,3,0,0,2.1,0,0,0,0,
0.013,0.039,0,3,0,0,2.1,0,0,0,0,
0.014,0.042,0,3,0,0,2.1,0,0,0,0,
0.015,0.045,0,3,0,0,2.1,0,0,0,0,
0.016,0.048,0,3,0,0,2.1,0,0,0,0,
0.017,0.051,0,3,0,0,2.1,0,0,0,0,
0.018,0.054,0,3,0,0,2.1,0,0,0,0,
0.019,0.057,0,3,0,0,2.1,0,0,0,0,
0.02,0.06,0,3,0,0,2.1,0,0,0,0,
0.021,0.063,0,3,0,0,2.1,0,0,0,0,
0.022,0.066,0,3,0,0,2.1,0,0,0,0,
0.023,0.069,0,3,0,0,2.1,0,0,0,0,
0.024,0.072,0,3,0,0,2.1,0,0,0,0,
0.025,0.075,0,3,0,0,2.1,0,0,0,0,
0.026,0.078,0,3,0,0,2.1,0,0,0,0,
0.027,0.081,0,3,0,0,2.1,0,0,0,0,
0.028,0.084,0,3,0,0,2.1,0,0,0,0,
0.029,0.087,0,3,0,0,2.1,0,0,0,0,
0.03,0.09,0,3,0,0,2.1,0,0,0,0,
0.031,0.093,0,3,0,0,2.1,0,0,0,0,
0.032,0.096,0,3,0,0,2.1,0,0,0,0,
0.033,0.099,0,3,0,0,2.1,0,0,0,0,
0.034,0.102,0,3,0,0,2.1,0,0,0,0,
0.035,0.105,0,2.99991,0,0,2.1,0,9e-005,0,0,
0.036,0.108,0,2.99969,0,0,2.1,0,0.000314992,0,0,
0.037,0.110999,0,2.99933,0,0,2.1,0,0.000674955,0,0,
0.038,0.113998,0,2.99883,0,0,2.1,0,0.00116986,0,0,
0.039,0.116996,0,2.9982,0,0,2.1,0,0.00179966,0,0,
0.04,0.119993,0,2.99744,0,0,2.10001,0,0.00256429,0,0,
0.041,0.12299,0,2.99654,0,0,2.10001,0,0.0034637,0,0,
