,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,980,,,,,k:,980,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0001,0.00171,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0002,0.00342,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0003,0.00513,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0004,0.00684,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0005,0.00855,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0006,0.01026,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0007,0.01197,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0008,0.01368,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0009,0.01539,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.001,0.0171,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0011,0.01881,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0012,0.02052,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0013,0.02223,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0014,0.02394,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0015,0.02565,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0016,0.02736,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0017,0.02907,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0018,0.03078,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0019,0.03249,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.002,0.0342,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0021,0.03591,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0022,0.03762,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0023,0.03933,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0024,0.04104,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0025,0.04275,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0026,0.04446,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0027,0.04617,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0028,0.04788,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0029,0.04959,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.003,0.0513,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0031,0.05301,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0032,0.05472,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0033,0.05643,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0034,0.05814,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0035,0.05985,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0036,0.06156,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0037,0.06327,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0038,0.06498,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0039,0.06669,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.004,0.0684,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0041,0.07011,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0042,0.07182,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0043,0.07353,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0044,0.07524,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0045,0.07695,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
0.0046,0.07866,0,17.1,0,0,0,2.1,-1.62,0,0,0,0,
