,Ball 0,,,,Ball 1,,,,
,m:,1,,,m:,1,,,
,r:,1,,,r:,1,,,
,k:,980,,,k:,980,,,
,rot: ,false,,,,,,,
,u_k: ,0.5,,,,,,,
t,s_x,v_x,theta,w,s_x,v_x,theta,w,
0.0002,0.001,5,0,0,3,0,0,0,
0.0004,0.002,5,0,0,3,0,0,0,
0.0006,0.003,5,0,0,3,0,0,0,
0.0008,0.004,5,0,0,3,0,0,0,
0.001,0.005,5,0,0,3,0,0,0,
0.0012,0.006,5,0,0,3,0,0,0,
0.0014,0.007,5,0,0,3,0,0,0,
0.0016,0.008,5,0,0,3,0,0,0,
0.0018,0.009,5,0,0,3,0,0,0,
0.002,0.01,5,0,0,3,0,0,0,
0.0022,0.011,5,0,0,3,0,0,0,
0.0024,0.012,5,0,0,3,0,0,0,
0.0026,0.013,5,0,0,3,0,0,0,
0.0028,0.014,5,0,0,3,0,0,0,
0.003,0.015,5,0,0,3,0,0,0,
0.0032,0.016,5,0,0,3,0,0,0,
0.0034,0.017,5,0,0,3,0,0,0,
0.0036,0.018,5,0,0,3,0,0,0,
0.0038,0.019,5,0,0,3,0,0,0,
0.004,0.02,5,0,0,3,0,0,0,
0.0042,0.021,5,0,0,3,0,0,0,
0.0044,0.022,5,0,0,3,0,0,0,
0.0046,0.023,5,0,0,3,0,0,0,
0.0048,0.024,5,0,0,3,0,0,0,
0.005,0.025,5,0,0,3,0,0,0,
0.0052,0.026,5,0,0,3,0,0,0,
0.0054,0.027,5,0,0,3,0,0,0,
0.0056,0.028,5,0,0,3,0,0,0,
0.0058,0.029,5,0,0,3,0,0,0,
0.006,0.03,5,0,0,3,0,0,0,
0.0062,0.031,5,0,0,3,0,0,0,
0.0064,0.032,5,0,0,3,0,0,0,
0.0066,0.033,5,0,0,3,0,0,0,
0.0068,0.034,5,0,0,3,0,0,0,
0.007,0.035,5,0,0,3,0,0,0,
0.0072,0.036,5,0,0,3,0,0,0,
0.0074,0.037,5,0,0,3,0,0,0,
0.0076,0.038,5,0,0,3,0,0,0,
0.0078,0.039,5,0,0,3,0,0,0,
0.008,0.04,5,0,0,3,0,0,0,
0.0082,0.041,5,0,0,3,0,0,0,
0.0084,0.042,5,0,0,3,0,0,0,
0.0086,0.043,5,0,0,3,0,0,0,
0.0088,0.044,5,0,0,3,0,0,0,
0.009,0.045,5,0,0,3,0,0,0,
0.0092,0.046,5,0,0,3,0,0,0,
0.0094,0.047,5,0,0,3,0,0,0,
0.0096,0.048,5,0,0,3,0,0,0,
0.0098,0.049,5,0,0,3,0,0,0,
0.01,0.05,5,0,0,3,0,0,0,
0.0102,0.051,5,0,0,3,0,0,0,
0.0104,0.052,5,0,0,3,0,0,0,
0.0106,0.053,5,0,0,3,0,0,0,
0.0108,0.054,5,0,0,3,0,0,0,
0.011,0.055,5,0,0,3,0,0,0,
0.0112,0.056,5,0,0,3,0,0,0,
0.0114,0.057,5,0,0,3,0,0,0,
0.0116,0.058,5,0,0,3,0,0,0,
0.0118,0.059,5,0,0,3,0,0,0,
0.012,0.06,5,0,0,3,0,0,0,
0.0122,0.061,5,0,0,3,0,0,0,
0.0124,0.062,5,0,0,3,0,0,0,
0.0126,0.063,5,0,0,3,0,0,0,
0.0128,0.064,5,0,0,3,0,0,0,
0.013,0.065,5,0,0,3,0,0,0,
0.0132,0.066,5,0,0,3,0,0,0,
0.0134,0.067,5,0,0,3,0,0,0,
0.0136,0.068,5,0,0,3,0,0,0,
0.0138,0.069,5,0,0,3,0,0,0,
0.014,0.07,5,0,0,3,0,0,0,
0.0142,0.071,5,0,0,3,0,0,0,
0.0144,0.072,5,0,0,3,0,0,0,
0.0146,0.073,5,0,0,3,0,0,0,
0.0148,0.074,5,0,0,3,0,0,0,
0.015,0.075,5,0,0,3,0,0,0,
0.0152,0.076,5,0,0,3,0,0,0,
0.0154,0.077,5,0,0,3,0,0,0,
0.0156,0.078,5,0,0,3,0,0,0,
0.0158,0.079,5,0,0,3,0,0,0,
0.016,0.08,5,0,0,3,0,0,0,
0.0162,0.081,5,0,0,3,0,0,0,
0.0164,0.082,5,0,0,3,0,0,0,
0.0166,0.083,5,0,0,3,0,0,0,
0.0168,0.084,5,0,0,3,0,0,0,
0.017,0.085,5,0,0,3,0,0,0,
0.0172,0.086,5,0,0,3,0,0,0,
0.0174,0.087,5,0,0,3,0,0,0,
0.0176,0.088,5,0,0,3,0,0,0,
0.0178,0.089,5,0,0,3,0,0,0,
0.018,0.09,5,0,0,3,0,0,0,
0.0182,0.091,5,0,0,3,0,0,0,
0.0184,0.092,5,0,0,3,0,0,0,
0.0186,0.093,5,0,0,3,0,0,0,
0.0188,0.094,5,0,0,3,0,0,0,
0.019,0.095,5,0,0,3,0,0,0,
0.0192,0.096,5,0,0,3,0,0,0,
0.0194,0.097,5,0,0,3,0,0,0,
0.0196,0.098,5,0,0,3,0,0,0,
0.0198,0.099,5,0,0,3,0,0,0,
0.02,0.1,5,0,0,3,0,0,0,
0.0202,0.101,5,0,0,3,0,0,0,
0.0204,0.102,5,0,0,3,0,0,0,
0.0206,0.103,5,0,0,3,0,0,0,
0.0208,0.104,5,0,0,3,0,0,0,
0.021,0.105,5,0,0,3,0,0,0,
0.0212,0.106,5,0,0,3,0,0,0,
0.0214,0.107,5,0,0,3,0,0,0,
0.0216,0.108,5,0,0,3,0,0,0,
0.0218,0.109,5,0,0,3,0,0,0,
0.022,0.11,5,0,0,3,0,0,0,
0.0222,0.111,5,0,0,3,0,0,0,
0.0224,0.112,5,0,0,3,0,0,0,
0.0226,0.113,5,0,0,3,0,0,0,
0.0228,0.114,5,0,0,3,0,0,0,
0.023,0.115,5,0,0,3,0,0,0,
0.0232,0.116,5,0,0,3,0,0,0,
0.0234,0.117,5,0,0,3,0,0,0,
0.0236,0.118,5,0,0,3,0,0,0,
0.0238,0.119,5,0,0,3,0,0,0,
0.024,0.12,5,0,0,3,0,0,0,
0.0242,0.121,5,0,0,3,0,0,0,
0.0244,0.122,5,0,0,3,0,0,0,
0.0246,0.123,5,0,0,3,0,0,0,
0.0248,0.124,5,0,0,3,0,0,0,
0.025,0.125,5,0,0,3,0,0,0,
0.0252,0.126,5,0,0,3,0,0,0,
0.0254,0.127,5,0,0,3,0,0,0,
0.0256,0.128,5,0,0,3,0,0,0,
0.0258,0.129,5,0,0,3,0,0,0,
0.026,0.13,5,0,0,3,0,0,0,
0.0262,0.131,5,0,0,3,0,0,0,
