,Ball 0,,,,,,Ball 1,,,,,,
,m:,1.2,,,,,m:,2.31,,,,,
,r:,1,,,,,r:,1,,,,,
,k:,9800,,,,,k:,9800,,,,,
,rot: ,true,,,,,,,,,,,
,u_k: ,0.5,,,,,,,,,,,
t,s_x,s_y,v_x,v_y,theta,w,s_x,s_y,v_x,v_y,theta,w,
0.0001,0.000866025,0.9995,8.66025,-5,0,0,-1.29638,-0.999036,11.4907,9.64181,0,0,
0.0002,0.00173205,0.999,8.66025,-5,0,0,-1.29523,-0.998072,11.4907,9.64181,0,0,
0.0003,0.00259808,0.9985,8.66025,-5,0,0,-1.29408,-0.997107,11.4907,9.64181,0,0,
0.0004,0.0034641,0.998,8.66025,-5,0,0,-1.29293,-0.996143,11.4907,9.64181,0,0,
0.0005,0.00433012,0.9975,8.66025,-5,0,0,-1.29178,-0.995179,11.4907,9.64181,0,0,
0.0006,0.00519615,0.997,8.66025,-5,0,0,-1.29064,-0.994215,11.4907,9.64181,0,0,
0.0007,0.00606218,0.9965,8.66025,-5,0,0,-1.28949,-0.993251,11.4907,9.64181,0,0,
0.0008,0.0069282,0.996,8.66025,-5,0,0,-1.28834,-0.992287,11.4907,9.64181,0,0,
0.0009,0.00779423,0.9955,8.66025,-5,0,0,-1.28719,-0.991322,11.4907,9.64181,0,0,
0.001,0.00866025,0.995,8.66025,-5,0,0,-1.28604,-0.990358,11.4907,9.64181,0,0,
0.0011,0.00952628,0.9945,8.66025,-5,0,0,-1.28489,-0.989394,11.4907,9.64181,0,0,
0.0012,0.0103923,0.994,8.66025,-5,0,0,-1.28374,-0.98843,11.4907,9.64181,0,0,
0.0013,0.0112583,0.9935,8.66025,-5,0,0,-1.28259,-0.987466,11.4907,9.64181,0,0,
0.0014,0.0121243,0.993,8.66025,-5,0,0,-1.28144,-0.986501,11.4907,9.64181,0,0,
0.0015,0.0129904,0.9925,8.66025,-5,0,0,-1.28029,-0.985537,11.4907,9.64181,0,0,
0.0016,0.0138564,0.992,8.66025,-5,0,0,-1.27914,-0.984573,11.4907,9.64181,0,0,
0.0017,0.0147224,0.9915,8.66025,-5,0,0,-1.278,-0.983609,11.4907,9.64181,0,0,
0.0018,0.0155884,0.991,8.66025,-5,0,0,-1.27685,-0.982645,11.4907,9.64181,0,0,
0.0019,0.0164545,0.9905,8.66025,-5,0,0,-1.2757,-0.981681,11.4907,9.64181,0,0,
0.002,0.0173205,0.99,8.66025,-5,0,0,-1.27455,-0.980716,11.4907,9.64181,0,0,
0.0021,0.0181865,0.9895,8.66025,-5,0,0,-1.2734,-0.979752,11.4907,9.64181,0,0,
0.0022,0.0190525,0.989,8.66025,-5,0,0,-1.27225,-0.978788,11.4907,9.64181,0,0,
0.0023,0.0199186,0.9885,8.66025,-5,0,0,-1.2711,-0.977824,11.4907,9.64181,0,0,
0.0024,0.0207846,0.988,8.66025,-5,0,0,-1.26995,-0.97686,11.4907,9.64181,0,0,
0.0025,0.0216506,0.9875,8.66025,-5,0,0,-1.2688,-0.975895,11.4907,9.64181,0,0,
0.0026,0.0225166,0.987,8.66025,-5,0,0,-1.26765,-0.974931,11.4907,9.64181,0,0,
0.0027,0.0233827,0.9865,8.66025,-5,0,0,-1.26651,-0.973967,11.4907,9.64181,0,0,
0.0028,0.0242487,0.986,8.66025,-5,0,0,-1.26536,-0.973003,11.4907,9.64181,0,0,
0.0029,0.0251147,0.9855,8.66025,-5,0,0,-1.26421,-0.972039,11.4907,9.64181,0,0,
0.003,0.0259807,0.985,8.66025,-5,0,0,-1.26306,-0.971075,11.4907,9.64181,0,0,
0.0031,0.0268468,0.9845,8.66025,-5,0,0,-1.26191,-0.97011,11.4907,9.64181,0,0,
0.0032,0.0277128,0.984,8.66025,-5,0,0,-1.26076,-0.969146,11.4907,9.64181,0,0,
0.0033,0.0285788,0.9835,8.66025,-5,0,0,-1.25961,-0.968182,11.4907,9.64181,0,0,
0.0034,0.0294448,0.983,8.66025,-5,0,0,-1.25846,-0.967218,11.4907,9.64181,0,0,
